Sample	DeltaCN	BaselineCN	GeneName	OriginalDeltaCN
W18	0.0939804888359279	2.14042075011336	PRKAR1A	1
EOT	0.109748430145507	2.09821431988339	RARA	1
W18	0.0653191046751367	2.09821431988339	RARA	1
EOT	0.128359524289707	2.14042075011336	SRSF2	1
W18	0.0939804888359279	2.14042075011336	SRSF2	1
EOT	-0.113862212520868	1.78955402573653	TPM3	0
W18	-0.119123959649917	1.78955402573653	TPM3	0
EOT	-0.113862212520868	1.78955402573653	DDR2	0
W18	-0.119123959649917	1.78955402573653	DDR2	0
EOT	-0.113862212520868	1.78955402573653	TPR	0
W18	-0.119123959649917	1.78955402573653	TPR	0
EOT	0.110606967137773	2.01032925105154	ALK	0
W18	0.0790616200683549	2.01032925105154	ALK	0
EOT	0.110606967137773	2.01032925105154	BIRC6	0
W18	0.0790616200683549	2.01032925105154	BIRC6	0
EOT	0.110606967137773	2.01032925105154	STRN	0
W18	0.0790616200683549	2.01032925105154	STRN	0
EOT	0.110606967137773	2.01032925105154	EML4	0
W18	0.0790616200683549	2.01032925105154	EML4	0
EOT	0.110606967137773	2.01032925105154	NFE2L2	0
W18	0.0790616200683549	2.01032925105154	NFE2L2	0
EOT	0.120805489080165	1.99829046340936	TFG	0
W18	0.0589519689305953	1.99829046340936	TFG	0
EOT	0.540091873275619	11.0214136060673	SOX2	0
W18	0.385099743431628	11.0214136060673	SOX2	0
EOT	0.250435775593796	6.46009674161111	MB21D2	0
W18	0.169215143836747	6.46009674161111	MB21D2	0
EOT	-0.180291469148781	1.81896188858914	ROS1	0
W18	-0.181328014076253	1.81896188858914	ROS1	0
EOT	-0.180291469148781	1.81896188858914	EZR	0
W18	-0.181328014076253	1.81896188858914	EZR	0
EOT	-0.0992019326138917	0.96022326905891	LEPROTL1	0
W18	-0.0964717897556363	0.96022326905891	LEPROTL1	0
EOT	-0.152245296223185	2.89202650452179	CSMD3	0
W18	-0.21897481539005	2.89202650452179	CSMD3	0
EOT	-0.152245296223185	2.89202650452179	RAD21	0
W18	-0.21897481539005	2.89202650452179	RAD21	0
EOT	-0.152245296223185	2.89202650452179	MYC	0
W18	-0.21897481539005	2.89202650452179	MYC	0
EOT	-0.152245296223185	2.89202650452179	FAM135B	0
W18	-0.21897481539005	2.89202650452179	FAM135B	0
EOT	-0.243816554286139	1.94204200785962	KIF5B	0
W18	-0.283762823681136	1.94204200785962	KIF5B	0
EOT	-0.243816554286139	1.94204200785962	RET	0
W18	-0.283762823681136	1.94204200785962	RET	0
EOT	-0.243816554286139	1.94204200785962	CCDC6	0
W18	-0.283762823681136	1.94204200785962	CCDC6	0
EOT	-0.243816554286139	1.94204200785962	CPEB3	0
W18	-0.283762823681136	1.94204200785962	CPEB3	0
EOT	-0.243816554286139	1.94204200785962	FGFR2	0
W18	-0.283762823681136	1.94204200785962	FGFR2	0
EOT	-0.169695362685677	2.70185705021867	RB1	0
W18	-0.231717201419483	2.70185705021867	RB1	0
EOT	-0.169695362685677	2.70185705021867	GPC5	0
W18	-0.231717201419483	2.70185705021867	GPC5	0
EOT	-0.156161382864417	2.03104566739945	MAP2K1	0
W18	-0.152397059063734	2.03104566739945	MAP2K1	0
EOT	0.160961811215977	0.921290004389913	TP53	0
W18	0.127304158342285	0.921290004389913	TP53	0
EOT	0.109748430145507	2.09821431988339	ERBB2	0
W18	0.0653191046751367	2.09821431988339	ERBB2	0
EOT	-0.137049417952162	2.00064900276	STK11	0
W18	-0.19828892192353	2.00064900276	STK11	0
EOT	-0.137049417952162	2.00064900276	MAP2K2	0
W18	-0.19828892192353	2.00064900276	MAP2K2	0
EOT	-0.137049417952162	2.00064900276	KEAP1	0
W18	-0.19828892192353	2.00064900276	KEAP1	0
EOT	-0.137049417952162	2.00064900276	SMARCA4	0
W18	-0.19828892192353	2.00064900276	SMARCA4	0
